,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
23,2908430,AJ,3,560011,233,233,131,B,ADLD,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,13.395439560696708
24,2920849,AN,22,400104,233,233,131,B,ADLD,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,13.023477858442092
25,2884266,AF,5,380009,233,245,131,A,ADLD,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,14.922965075107243
26,2819466,AN,4,600024,233,233,131,B,ADLD,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,14.586106892054858
27,2858437,AN,17,800001,233,233,131,A,ADLD,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,13.866619635841573
28,3050523,C,2,110018,308,233,131,A,ADLD,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,10.70929664629061
29,2876140,AN,22,400104,233,245,131,B,ADLD,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,12.653885781362227
30,2824732,AI,7,500004,233,233,131,A,ADLD,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,14.141522157939832
31,2839241,AF,17,800001,233,233,131,C,ADLD,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,14.310852850158298
32,2868409,AN,22,400104,233,233,131,A,ADLD,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,13.060731571089349
33,2907041,D,1,400059,233,233,131,A,ADLD,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,15.679918995660103
34,2844455,AN,7,500004,233,233,131,B,ADLD,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,14.357852910705049
35,2867312,C,1,400059,233,233,131,A,ADLD,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,13.213800760499922
36,2972765,AN,22,400104,0,233,131,D,ADLD,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,11.684973561664478
37,2983511,C,2,110018,233,233,131,A,ADLD,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,11.479210675441522
38,2857281,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,13.86132418027686
39,3051964,AJ,23,400001,233,233,131,A,ADLD,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,11.70239743901805
40,2981162,AN,21,110015,233,233,131,A,ADLD,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,11.48346369469509
41,3014945,AN,26,560066,201,233,131,D,ADLD,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,10.488692528530798
42,2999197,AJ,27,110034,233,233,131,A,ADLD,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,11.971518619898987
43,2829017,AJ,7,500004,233,233,131,A,ADLD,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,14.078515935254337
44,2848996,AI,3,560011,233,233,131,A,ADLD,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,13.985439852625355
45,2870108,AN,22,400104,233,233,131,B,ADLD,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,12.984689641149451
46,2859591,AJ,2,110018,233,233,131,A,ADLD,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,13.685976539775531
47,2861847,AJ,3,560011,233,233,228,A,ADLD,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,13.348131173088753
48,2880678,AJ,2,110018,233,233,228,A,ADLD,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,12.953432888388441
49,2872297,AN,22,400104,233,233,131,C,ADLD,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,13.400968967949197
50,2930663,AN,21,110015,233,233,131,C,ADLD,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,12.250093203532828
51,2936017,AJ,23,400001,233,233,131,A,ADLD,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,13.136118279593255
52,2940545,S,3,560011,233,233,228,A,ADLD,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,12.422911571691856
53,2887249,AE,9,411016,233,233,228,B,ADLD,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,14.701681433794384
54,2978501,AM,2,110018,308,233,228,A,ADLD,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,13.057556893537523
55,3013507,Y,5,380009,201,233,131,D,ADLD,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,13.632422078561717
56,3035976,AJ,6,160059,233,233,228,B,ADLD,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,10.920065315692085
57,3057218,AN,26,560066,233,233,131,B,ADLD,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,9.747072781658268
58,3086262,AJ,23,400001,233,233,228,A,ADLD,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,10.818468524808004
59,3078906,AN,22,400104,233,233,131,A,ADLD,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,10.64357380758031
60,2822707,AN,21,110015,233,245,131,A,ADLD,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,13.033055985461026
61,2874119,AJ,3,560011,233,245,228,B,ADLD,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,13.315874139092983
62,2879096,AN,11,641012,201,201,131,D,ADLD,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,14.513641860002927
63,3041893,AE,2,110018,233,233,228,C,ADLD,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,14.300484975324956
64,3085048,AN,26,560066,233,233,228,A,ADLD,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,8.539181404053835
65,2833586,AN,21,110015,201,233,131,0,ADLD,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,15.13369886138591
66,3029632,AJ,27,110034,233,233,131,B,ADLD,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,11.862376613311227
67,2953931,AN,8,700064,233,233,131,A,ADLD,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,12.763029847872971
68,2946014,AN,4,600024,233,233,131,A,ADLD,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,12.798979988562664
69,3011371,AJ,23,400001,308,233,131,A,ADLD,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,12.168889140808353
70,3084072,AN,21,110015,233,233,131,A,ADLD,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,10.199834050428464
71,2896365,AN,8,700064,233,233,228,A,ADLD,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,12.934408066441534
72,3021704,C,12,302006,233,233,131,B,ADLD,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,12.064311917395933
73,2904158,AN,7,500004,233,233,131,A,ADLD,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,13.509768523925004
74,3035437,C,2,110018,233,233,228,B,EW,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,12.435438550984145
75,2870227,AN,2,110018,233,233,131,A,ADLD,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,14.45298213850731
76,3013338,AJ,27,110034,308,233,228,A,ADLD,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,11.429183812740447
77,2848947,AN,21,110015,233,233,131,B,ADLD,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,13.09503553564771
78,2846763,AJ,2,110018,233,233,228,A,ADLD,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,13.333666183210553
79,2883269,AN,2,110018,233,233,228,A,ADLD,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,13.812959950994184
80,2843740,C,12,302006,233,233,228,B,ADLD,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,13.544238002805976
81,2904312,AA,12,302006,233,233,228,A,ADLD,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,12.526974340566177
82,2924654,Y,4,600024,233,233,131,A,ADLD,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,13.044443128041507
83,2938914,AJ,2,110018,233,233,228,A,ADLD,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,13.016914677723285
84,2822482,AF,1,400059,233,233,131,A,ADLD,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,13.585018452197339
85,2943376,AN,22,400104,233,233,131,A,ADLD,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,12.194943448526885
86,2979916,AN,21,110015,233,233,131,C,ADLD,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,11.70273894321653
87,3041172,AN,21,110015,308,233,131,A,ADLD,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,10.692503550765196
88,3049892,AJ,27,110034,233,233,131,A,ADLD,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,11.388819380821204
89,3034718,AJ,25,560037,233,233,131,A,ADLD,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,12.222684403347102
90,3054515,AJ,25,560037,233,233,131,A,ADLD,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,11.995835158382903
91,3011372,C,9,411016,233,233,228,A,ADLD,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,11.070121648967508
92,2931879,Y,5,380009,233,245,131,B,ADLD,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,14.190453873871604
93,3061051,AJ,25,560037,308,245,131,A,ADLD,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,11.380664158593838
94,2838851,AN,21,110015,233,233,131,A,ADLD,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,13.01684054790698
95,2883744,AN,21,110015,233,233,131,C,ADLD,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,12.811254387420831
96,3003851,AN,2,110018,308,245,228,A,ADLD,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,10.46187636462087
97,2865482,AJ,8,700064,233,233,131,A,ADLD,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,13.817845084898856
98,2949800,AN,7,500004,233,233,131,A,ADLD,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,12.98610022982318
99,2909787,AM,2,110018,233,233,228,A,ADLD,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,13.736015154260087
100,2854751,AN,21,110015,233,233,131,A,ADLD,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,12.834054495359503
101,2849456,AI,3,560011,233,233,131,A,ADLD,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,13.980378031361475
102,2932154,AI,23,400001,233,233,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,12.892996969759672
103,2932154,AI,23,400001,233,0,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,16.169063791435327
104,2985584,AI,23,400001,201,233,131,0,ADLD,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,12.957019820087147
105,2854160,AN,21,110015,233,233,131,A,ADLD,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,12.841168377410682
106,2987955,C,12,302006,233,233,131,B,ADLD,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,12.452014101139554
107,3007421,AJ,23,400001,233,233,131,A,ADLD,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,12.315981624319015
108,3053312,AI,6,160059,233,233,131,C,ADLD,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,11.05313064257119
109,2934361,AJ,12,302006,233,233,228,B,ADLD,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,12.499291922626064
110,2979407,AN,22,400104,233,233,131,B,ADLD,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,11.415014904247698
111,3001378,C,4,600024,233,233,228,A,ADLD,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,11.701246054018327
112,3025387,AJ,6,160059,233,233,228,C,ADLD,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,10.865079950156108
113,2856532,AF,1,400059,233,233,131,B,ADLD,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,13.669570021282986
114,3030131,AN,7,500004,233,233,228,A,ADLD,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,11.572907698271997
115,2821171,C,2,110018,233,233,228,A,ADLD,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,14.856748245130674
116,2849313,AN,3,560011,233,233,228,A,ADLD,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,13.462920601085642
117,2838919,AI,8,700064,201,233,131,D,ADLD,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,14.22460945987089
118,2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,13.396192180983434
119,2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,13.396192180983434
120,2855601,AN,17,800001,233,233,131,C,ADLD,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,14.214510087918327
121,2868202,AN,3,560011,233,233,131,B,ADLD,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,13.92129647894965
122,2835214,C,12,302006,233,233,131,A,ADLD,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,14.026673115784469
123,2892610,C,2,110018,233,233,131,A,ADLD,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,14.538826042549715
124,2906296,AN,4,600024,233,233,131,A,ADLD,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,13.255503319104392
125,2884859,AN,21,110015,201,233,131,0,ADLD,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,14.214112687346898
126,3003578,C,2,110018,308,233,228,A,ADLD,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,12.662738291412097
127,3036158,AN,21,110015,233,233,131,A,ADLD,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,11.59634256602331
128,3007060,AJ,23,400001,233,233,131,A,ADLD,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,12.218301814214229
129,2995265,C,3,560011,233,233,228,A,ADLD,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,11.777286201233103
130,3048957,AJ,27,110034,233,233,228,A,ADLD,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,11.752708029655878
131,3064024,AJ,6,160059,233,233,131,B,ADLD,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,11.088053287968435
132,3038673,C,1,400059,233,233,131,A,ADLD,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,13.470431917284287
133,3054305,AN,22,400104,233,233,131,A,ADLD,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,10.915724576016764
134,3056252,AJ,27,110034,233,233,228,A,ADLD,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,10.825169254526841
135,2876909,C,2,110018,233,245,131,A,ADLD,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,14.427481171665043
136,2862113,AN,26,560066,233,245,131,A,ADLD,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,11.421254676033541
137,2876160,C,2,110018,233,233,228,A,ADLD,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,12.995968233279228
138,3006324,AJ,6,160059,233,233,131,A,ADLD,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,11.751224653542522
139,2835363,AN,7,500004,233,233,131,A,ADLD,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,14.300823766338496
140,3037453,AN,22,400104,233,233,131,C,ADLD,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,11.251476090990451
141,2987148,AA,3,560011,233,245,131,A,ADLD,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,12.478630966634995
142,2910212,AN,21,110015,233,233,131,B,ADLD,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,12.336046001786286
143,3050106,AN,22,400104,233,233,131,B,ADLD,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,11.334248319517542
144,2855771,C,7,500004,233,233,131,A,ADLD,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,13.758873170857314
145,3003544,AN,21,110015,233,233,131,A,ADLD,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,12.905059323935845
146,2861488,AB,1,400059,233,233,131,A,ADLD,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,11.234129212085662
147,3065821,AN,21,110015,233,233,131,A,ADLD,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,10.520163008904717
148,2835502,AN,21,110015,233,233,131,A,ADLD,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,13.055109207162872
149,2869153,AN,22,400104,233,233,131,B,ADLD,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,12.995762514465412
150,2886326,AJ,3,560011,233,233,131,A,ADLD,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,13.557063505023436
151,2882267,G,1,400059,233,233,131,A,ADLD,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,16.741261118523447
152,2883958,AJ,9,411016,233,233,131,A,ADLD,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,15.21035662619753
153,2852611,AJ,1,400059,233,233,131,A,ADLD,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,13.997165794207326
154,2836058,F,1,400059,233,233,131,A,ADLD,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,15.793886308164282
155,2870588,AM,1,400059,233,233,131,B,ADLD,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,15.566547982852704
156,2943441,AN,17,800001,233,233,131,A,ADLD,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,12.89013744445495
157,2949640,C,4,600024,233,233,131,B,ADLD,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,13.082292902736086
158,2951215,AN,21,110015,233,233,228,B,ADLD,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,12.830270190698016
159,3004630,AN,21,110015,308,233,131,A,ADLD,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,11.112142813140423
160,2973024,AN,7,500004,233,233,131,B,ADLD,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,13.024639622129726
161,3011239,AN,21,110015,233,233,228,A,ADLD,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,10.657020474812882
162,3000598,AN,21,110015,233,233,228,A,ADLD,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,13.279212253910984
163,3030507,AN,17,800001,201,233,131,D,ADLD,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,11.919717905443932
164,3009461,AJ,27,110034,233,233,228,A,ADLD,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,13.143154782909747
165,3057192,AJ,27,110034,233,233,131,A,ADLD,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,11.305255112949226
166,3074344,AJ,25,560037,233,245,228,A,ADLD,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,10.738055293454629
167,3017312,AJ,6,160059,233,233,131,B,ADLD,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,11.513061159268332
168,2860280,AJ,2,110018,233,233,228,A,ADLD,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,13.17833905250874
169,2832836,AJ,4,600024,0,233,131,A,ADLD,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,14.132773396873318
170,2887534,AJ,6,160059,233,233,131,B,ADLD,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,13.115435302038406
171,2979628,H,1,400059,233,233,131,A,ADLD,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,11.448718252615002
172,2879480,AN,3,560011,233,233,131,A,ADLD,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,14.933827845766452
173,2948011,AJ,12,302006,233,233,228,A,ADLD,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,12.24049871620823
174,2851199,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,13.931193055844396
175,2985709,AM,2,110018,233,233,228,B,ADLD,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,13.788978522573558
176,2823550,AN,8,700064,233,233,131,B,ADLD,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,14.382699309684376
177,2839869,AN,7,500004,233,233,131,A,ADLD,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,14.248753646093618
178,2845484,AN,21,110015,233,233,228,A,ADLD,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,13.296506670861547
179,2908320,AD,2,110018,233,233,228,A,ADLD,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,13.520204650447013
180,2873112,J,2,110018,201,233,228,D,ADLD,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,16.48118004878166
181,2904883,C,2,110018,233,233,131,A,ADLD,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,15.120695198144325
182,2945258,AJ,2,110018,233,233,131,A,ADLD,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,12.590897724980628
183,2967014,AJ,2,110018,233,233,228,A,ADLD,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,11.850260677487434
184,2950522,AN,22,400104,233,233,131,A,ADLD,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,11.922227483679123
185,3000380,AN,21,110015,233,233,131,C,ADLD,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,11.479764000960017
186,2962723,AJ,2,110018,233,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.39062476011604
187,2962723,AJ,2,110018,0,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.39062476011604
188,2981246,AN,21,110015,233,233,131,A,ADLD,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,13.161298031530833
189,2995195,AN,26,560066,233,233,131,A,ADLD,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,12.911461971784213
190,2973748,C,11,641012,201,0,131,A,ADLD,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,15.801371347190546
191,3000612,C,3,560011,233,233,131,B,ADLD,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,12.517631431587382
192,2995876,AN,17,800001,201,233,131,D,ADLD,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,12.961138147074962
193,3081263,AN,22,400104,233,233,131,A,ADLD,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,10.610923447642193
194,3072387,AJ,25,560037,308,233,228,A,ADLD,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,10.928621518116124
195,2893036,C,3,560011,233,245,228,A,ADLD,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,12.78335736237701
196,2889463,AN,3,560011,233,233,131,A,ADLD,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,13.491493564758223
197,2949420,AJ,2,110018,233,233,228,A,ADLD,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,12.052738930729092
198,3047285,AN,26,560066,233,233,131,C,ADLD,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,10.157935258312136
